ID	DIALOGUE_TEXT
04_TUC_HAP_SEQ_01	Oooh, the little human is bored?
04_TUC_CON_SEQ_02	Too bad talking to you makes me lazy.
04_LIN_NEU_SEQ_01	Sorry, human. Not in the mood for a chat
04_PAN_ANG_SEQ_01	Stay away from me, you freak.
04_CHA_DIS_SEQ_01	Why do you even bother talking to me?
04_KOA_HAP_SEQ_01	Oh, kid! Good morning.
04_KOA_NEU_SEQ_02	Did you sleep well?
04_PRO_HAP_DTR_01	Yup! Slept like a baby!
04_PRO_SAD_DTR_02	I had nightmares...
04_KOA_SAD_SEQ_03	Uhm... are you alright?
04_KOA_SAD_SEQ_04	You are too quiet...
04_KOA_HAP_SEQ_05	It's really good to hear that!
04_KOA_SAD_SEQ_06	Oh... I'm sorry to hear that...
04_KOA_NEU_SEQ_07	You need a bit more of rest?
04_KOA_SAD_SEQ_08	I hope we didn't scare you too much yesterday.
04_KOA_SAD_SEQ_09	We were all a little shaken. Sorry about that...
04_PRO_NEU_DTR_03	I'm OK.
04_PRO_HAP_DTR_04	Don't worry!
04_PRO_ANG_DTR_05	You were mean
04_KOA_SUR_SEQ_10	Oh... Sorry about that too...
04_KOA_SAD_SEQ_11	Some of us never had good experiences with humans.
04_KOA_NEU_SEQ_12	But I want to try to see people for what they are.
04_KOA_NEU_SEQ_13	Instead of judging them for how they look.
04_KOA_NEU_SEQ_14	... Alriiight...,
04_KOA_HAP_SEQ_15	Glad to hear that, kid.
04_KOA_SUR_SEQ_16	But I do! A good sleep is necessary!
04_KOA_NEU_SEQ_17	People need to have healthy sleep habits.
04_KOA_NEU_SEQ_18	It doesn't matter what species it belongs to.
04_PRO_HAP_DTR_06	I see, good!
04_PRO_NEU_DTR_07	I don't care.
04_KOA_SUP_SEQ_19	... I was trying to be kind.
04_KOA_NEU_SEQ_20	You don't need to be so gruff ...
04_KOA_HAP_SEQ_21	Yup! I hope we get along, kiddo!
04_KOA_HAP_SEQ_22	However, my name is Gus and this is my daughter, Fae.
04_KOA_NEU_SEQ_23	Nice to meet you...?
04_KOA_NEU_SEQ_24	Alex, right?
04_KOA_HAP_SEQ_25	Sounds cool!
04_PRO_HAP_DTR_08	Thank you!
04_PRO_NEU_DTR_09	Yeah, whatever.
04_KOA_NEU_SEQ_26	Uh... well...
04_KOA_SUP_SEQ_27	What a polite child...!
04_KOA_HAP_SEQ_28	You're welcome!
04_KOA_SAD_SEQ_29	Uhm, sorry if the comment made you unconfortable...
04_KOA_ANG_SEQ_30	Hey, calm down a bit, will you?
04_KOA_ANG_SEQ_31	I try to be nice, but if you continue like this, I will stop.
04_KOA_NEU_SEQ_32	Think about it.
04_KOA_NEU_SEQ_33	Excuse me, but I have to take care of Fae.
04_KOA_HAP_SEQ_34	It's been a pleasure talking to you, Alex.
04_KOA_NEU_SEQ_35	Have a good day, Alex.
05_KOA_HAP_SEQ_01	Good afternoon, Alex!
05_KOA_NEU_SEQ_02	Maybe later you can play with Fae?
05_KOA_HAP_SEQ_03	She needs to socialize and improve her own confidece.
05_KOA_HAP_SEQ_04	Good afternoon, Alex.
05_KOA_NEU_SEQ_05	Try not crossing with Panda, he's irritable.
05_KOA_NEU_SEQ_06	Hi.
05_KOA_NEU_SEQ_07	Now I'm busy, sorry
05_CHA_CON_SEQ_08	You are still not trustworthy.
05_CHA_NEU_SEQ_09	We will handle this situation.
05_CHA_NEU_SEQ_10	I have all under control.
05_CHA_NEU_SEQ_11	Order is essential.
05_CHA_CON_SEQ_12	So a kid doesn't belong here.
05_CHA_DIS_SEQ_13	Human stupidity is infinite.
05_TUC_HAP_SEQ_01	Afternoon!
05_TUC_NEU_SEQ_02	I don't recomend you to talk with the crazy Panda.
05_TUC_HAP_SEQ_03	Instead talk with me! We can make some jokes.
05_TUC_CON_SEQ_04	I don't like responsabilities.
05_TUC_NEU_SEQ_05	So if something happens to you, go talk with Lynx or Koala.
05_TUC_CON_SEQ_06	Boooring.
05_LIN_NEU_SEQ_01	Good afternoon.
05_LIN_NEU_SEQ_02	If Panda just messes up with you, let me know kiddo.
05_LIN_ANG_SEQ_03	Don't look me like that.
05_LIN_NEU_SEQ_04	I'm not gonna eat you.
05_LIN_ANG_SEQ_05	Mind your own business.
05_LIN_NEU_SEQ_06	...
05_LIN_NEU_SEQ_07	Are you hungry?
05_PRO_SUR_DTR_08	*Stomach growling*
05_PRO_FEA_DTR_09	S-Stay away from me.
05_LIN_NEU_SEQ_08	You know the basics of a conversation is talking, don't you?
05_LIN_SUR_SEQ_09	...
05_LIN_HAP_SEQ_10	Haha. I'll take that as a 'yes, sir'.
05_LIN_ANG_SEQ_11	Heh, another one.
